@relation extintores_300_registros_reordenado

@attribute tipoServicio {recarga,venta}
@attribute tipoExtintor {TIPO_K,AGUA,ABC,CO2}
@attribute cantidad numeric
@attribute diasHastaEntrega numeric
@attribute diaSemana {Jueves,Miercoles,Sabado,Viernes,Domingo,Lunes,Martes}
@attribute mes numeric
@attribute rangoMonto {Medio,Alto,Bajo}
@attribute clienteFrecuente {Si,No}
@attribute stockDisponible numeric
@attribute tipoError {sin_error,producto_no_disponible,falta_personal,retraso_entrega,falla_recarga,tipo_incorrecto,cantidad_incorrecta,error_facturacion,cancelacion_cliente}

@data
venta,TIPO_K,1,15,Jueves,7,Bajo,Si,1,sin_error
venta,CO2,1,5,Miercoles,8,Medio,No,5,sin_error
venta,AGUA,2,5,Viernes,11,Alto,Si,2,sin_error
venta,ABC,1,20,Miercoles,11,Bajo,No,9,falla_recarga
venta,CO2,2,1,Martes,12,Bajo,No,12,falta_personal
recarga,AGUA,1,16,Domingo,4,Bajo,Si,10,sin_error
venta,CO2,1,10,Domingo,7,Medio,No,1,falla_recarga
recarga,AGUA,2,15,Domingo,4,Alto,No,12,sin_error
recarga,TIPO_K,1,10,Viernes,11,Bajo,No,20,sin_error
recarga,AGUA,1,18,Domingo,7,Bajo,Si,1,sin_error
venta,TIPO_K,3,3,Jueves,3,Alto,Si,0,producto_no_disponible
recarga,TIPO_K,1,10,Viernes,2,Medio,Si,9,sin_error
recarga,TIPO_K,1,18,Sabado,7,Bajo,No,1,sin_error
recarga,ABC,2,18,Domingo,8,Bajo,No,0,producto_no_disponible
recarga,ABC,2,2,Miercoles,6,Bajo,No,1,sin_error
recarga,CO2,1,20,Domingo,4,Medio,Si,7,sin_error
venta,AGUA,3,25,Jueves,2,Medio,No,0,producto_no_disponible
recarga,ABC,1,12,Lunes,4,Alto,No,3,sin_error
recarga,TIPO_K,3,15,Domingo,12,Alto,No,4,sin_error
venta,AGUA,1,10,Martes,2,Alto,Si,10,sin_error
venta,CO2,3,7,Martes,10,Medio,Si,6,sin_error
venta,TIPO_K,1,3,Miercoles,11,Alto,Si,7,sin_error
recarga,CO2,2,20,Lunes,10,Bajo,No,6,sin_error
recarga,TIPO_K,2,7,Jueves,9,Bajo,No,4,cantidad_incorrecta
recarga,AGUA,2,7,Domingo,1,Bajo,No,7,sin_error
recarga,AGUA,1,9,Martes,9,Alto,Si,0,producto_no_disponible
venta,ABC,1,25,Martes,11,Bajo,Si,6,retraso_entrega
recarga,TIPO_K,1,8,Jueves,3,Alto,No,7,sin_error
venta,AGUA,3,7,Jueves,6,Bajo,No,5,sin_error
recarga,AGUA,1,10,Viernes,6,Medio,No,7,sin_error
venta,TIPO_K,2,2,Jueves,9,Alto,No,3,sin_error
venta,TIPO_K,1,3,Domingo,5,Alto,Si,4,sin_error
recarga,AGUA,1,20,Domingo,10,Bajo,No,20,sin_error
recarga,CO2,1,3,Martes,3,Bajo,Si,15,sin_error
venta,TIPO_K,2,7,Miercoles,5,Medio,No,9,sin_error
recarga,ABC,2,20,Jueves,10,Bajo,No,9,sin_error
venta,TIPO_K,1,1,Jueves,12,Alto,No,12,sin_error
venta,AGUA,1,2,Domingo,8,Bajo,Si,15,falta_personal
recarga,TIPO_K,2,20,Sabado,10,Medio,No,0,producto_no_disponible
recarga,TIPO_K,2,12,Lunes,11,Alto,No,4,sin_error
venta,AGUA,3,1,Lunes,8,Alto,Si,10,sin_error
recarga,TIPO_K,1,9,Martes,7,Bajo,Si,6,sin_error
recarga,TIPO_K,1,20,Viernes,12,Medio,Si,15,producto_no_disponible
recarga,CO2,1,18,Sabado,12,Medio,Si,8,sin_error
venta,ABC,1,30,Miercoles,12,Alto,No,9,sin_error
venta,CO2,1,18,Miercoles,4,Alto,No,4,sin_error
recarga,CO2,2,12,Martes,3,Alto,No,2,sin_error
venta,TIPO_K,1,10,Martes,1,Bajo,No,4,sin_error
recarga,AGUA,1,2,Sabado,8,Medio,No,7,sin_error
recarga,ABC,1,30,Jueves,12,Bajo,Si,7,retraso_entrega
venta,AGUA,1,1,Lunes,2,Medio,Si,15,sin_error
venta,TIPO_K,1,8,Sabado,12,Alto,Si,4,sin_error
recarga,AGUA,2,8,Jueves,4,Bajo,No,15,sin_error
venta,AGUA,2,30,Lunes,12,Bajo,No,7,retraso_entrega
venta,AGUA,1,8,Miercoles,3,Alto,No,8,falla_recarga
venta,TIPO_K,1,16,Martes,10,Alto,No,20,sin_error
recarga,TIPO_K,1,9,Martes,11,Medio,Si,4,sin_error
recarga,CO2,1,30,Lunes,9,Alto,Si,4,retraso_entrega
venta,ABC,1,20,Sabado,8,Bajo,Si,0,producto_no_disponible
venta,CO2,1,5,Domingo,12,Bajo,Si,5,sin_error
recarga,ABC,1,7,Miercoles,4,Bajo,No,10,sin_error
recarga,TIPO_K,2,8,Martes,12,Bajo,Si,4,sin_error
recarga,ABC,2,8,Jueves,4,Medio,No,5,falla_recarga
venta,ABC,2,30,Martes,11,Bajo,Si,2,retraso_entrega
recarga,TIPO_K,1,25,Viernes,10,Medio,Si,1,retraso_entrega
venta,TIPO_K,3,7,Martes,6,Medio,Si,7,sin_error
venta,AGUA,3,18,Domingo,8,Alto,No,0,producto_no_disponible
venta,TIPO_K,1,16,Viernes,10,Medio,No,9,cantidad_incorrecta
venta,ABC,2,9,Lunes,11,Alto,No,10,error_facturacion
venta,ABC,2,5,Sabado,2,Alto,Si,0,producto_no_disponible
venta,AGUA,1,15,Miercoles,12,Bajo,Si,7,sin_error
recarga,ABC,3,15,Viernes,2,Medio,No,20,sin_error
recarga,ABC,1,5,Miercoles,9,Bajo,No,12,sin_error
venta,ABC,1,18,Lunes,11,Medio,No,20,sin_error
venta,ABC,3,10,Lunes,1,Bajo,Si,4,sin_error
recarga,CO2,2,5,Martes,9,Bajo,Si,6,falla_recarga
venta,CO2,1,12,Lunes,2,Alto,No,1,producto_no_disponible
recarga,TIPO_K,1,3,Domingo,9,Bajo,Si,10,falta_personal
recarga,TIPO_K,2,9,Martes,5,Bajo,Si,3,sin_error
venta,CO2,1,10,Sabado,8,Bajo,No,5,error_facturacion
recarga,TIPO_K,2,9,Martes,9,Medio,Si,5,falta_personal
venta,TIPO_K,1,16,Miercoles,5,Alto,No,20,sin_error
recarga,AGUA,1,18,Viernes,3,Bajo,Si,3,retraso_entrega
recarga,TIPO_K,1,2,Lunes,4,Alto,No,2,sin_error
venta,ABC,1,12,Viernes,11,Alto,Si,5,sin_error
recarga,ABC,1,3,Martes,12,Alto,Si,1,sin_error
venta,TIPO_K,2,30,Martes,5,Alto,Si,20,retraso_entrega
recarga,CO2,2,1,Martes,12,Alto,Si,12,sin_error
recarga,AGUA,1,12,Martes,11,Alto,No,6,sin_error
recarga,TIPO_K,2,2,Sabado,10,Alto,No,12,sin_error
venta,TIPO_K,1,8,Viernes,10,Medio,Si,15,falla_recarga
venta,ABC,3,20,Lunes,7,Alto,Si,2,sin_error
recarga,CO2,2,25,Viernes,4,Bajo,Si,9,sin_error
recarga,AGUA,1,8,Viernes,11,Bajo,No,1,sin_error
venta,ABC,1,3,Jueves,12,Medio,Si,7,falta_personal
recarga,AGUA,1,20,Viernes,5,Alto,Si,10,sin_error
venta,AGUA,1,1,Jueves,2,Medio,No,1,sin_error
recarga,TIPO_K,2,20,Viernes,6,Medio,Si,12,sin_error
recarga,AGUA,3,15,Jueves,6,Bajo,Si,4,sin_error
recarga,CO2,1,7,Viernes,3,Bajo,No,20,falta_personal
venta,TIPO_K,2,15,Martes,8,Bajo,Si,1,sin_error
venta,AGUA,2,7,Miercoles,7,Bajo,Si,8,sin_error
venta,CO2,1,25,Martes,12,Medio,Si,1,retraso_entrega
recarga,AGUA,2,9,Martes,8,Bajo,No,5,sin_error
recarga,ABC,1,3,Miercoles,4,Alto,No,2,sin_error
venta,CO2,1,1,Sabado,6,Bajo,No,12,sin_error
recarga,ABC,1,5,Sabado,1,Bajo,Si,1,sin_error
venta,AGUA,2,30,Miercoles,8,Medio,Si,8,retraso_entrega
venta,AGUA,2,16,Viernes,8,Alto,Si,15,sin_error
venta,TIPO_K,1,8,Martes,3,Medio,No,3,sin_error
venta,CO2,1,5,Viernes,9,Alto,No,20,sin_error
venta,ABC,1,10,Domingo,5,Alto,No,12,sin_error
venta,CO2,2,15,Lunes,3,Medio,No,15,sin_error
recarga,TIPO_K,1,16,Miercoles,2,Alto,Si,12,sin_error
recarga,CO2,3,7,Miercoles,4,Bajo,No,1,sin_error
venta,CO2,1,3,Sabado,3,Alto,No,2,producto_no_disponible
recarga,TIPO_K,1,3,Viernes,7,Medio,Si,2,sin_error
venta,TIPO_K,2,2,Lunes,1,Alto,No,5,sin_error
recarga,ABC,1,12,Sabado,11,Alto,No,12,sin_error
recarga,ABC,2,20,Martes,12,Bajo,No,2,sin_error
recarga,TIPO_K,1,15,Viernes,5,Bajo,No,20,sin_error
recarga,CO2,1,25,Lunes,4,Alto,No,8,sin_error
venta,ABC,3,12,Sabado,6,Medio,Si,10,sin_error
venta,CO2,2,25,Martes,10,Alto,No,20,retraso_entrega
venta,TIPO_K,3,3,Domingo,2,Medio,No,0,producto_no_disponible
recarga,CO2,2,9,Martes,9,Medio,No,9,sin_error
recarga,CO2,1,3,Jueves,7,Bajo,Si,0,producto_no_disponible
venta,TIPO_K,1,18,Domingo,1,Alto,Si,6,falta_personal
venta,CO2,1,15,Domingo,12,Bajo,No,2,sin_error
recarga,ABC,2,5,Miercoles,2,Alto,Si,7,falla_recarga
venta,TIPO_K,2,15,Martes,8,Medio,Si,0,producto_no_disponible
recarga,ABC,1,30,Miercoles,4,Medio,Si,20,sin_error
venta,TIPO_K,1,10,Domingo,1,Medio,No,4,sin_error
venta,AGUA,1,5,Martes,3,Medio,Si,0,producto_no_disponible
venta,TIPO_K,1,5,Viernes,1,Medio,No,10,sin_error
recarga,TIPO_K,2,9,Viernes,11,Alto,No,3,sin_error
recarga,AGUA,1,16,Miercoles,4,Medio,No,7,sin_error
recarga,CO2,1,16,Miercoles,7,Medio,No,4,sin_error
recarga,ABC,1,30,Domingo,2,Alto,Si,4,sin_error
venta,CO2,3,15,Martes,5,Alto,Si,1,sin_error
venta,ABC,1,18,Martes,6,Alto,No,8,sin_error
venta,TIPO_K,1,2,Martes,3,Alto,Si,4,sin_error
recarga,ABC,1,3,Jueves,12,Alto,No,0,producto_no_disponible
venta,TIPO_K,2,2,Sabado,8,Alto,Si,6,sin_error
venta,CO2,1,18,Domingo,1,Medio,No,1,sin_error
venta,ABC,2,30,Domingo,5,Bajo,No,5,sin_error
venta,ABC,1,18,Lunes,2,Alto,No,6,sin_error
recarga,TIPO_K,1,8,Lunes,6,Bajo,No,8,falta_personal
venta,CO2,1,15,Martes,7,Bajo,Si,7,sin_error
venta,ABC,1,1,Miercoles,9,Alto,Si,9,sin_error
venta,TIPO_K,2,12,Miercoles,12,Alto,No,0,producto_no_disponible
recarga,CO2,2,8,Sabado,9,Alto,No,9,sin_error
recarga,CO2,1,18,Jueves,12,Medio,Si,15,sin_error
recarga,TIPO_K,2,5,Martes,10,Alto,Si,12,sin_error
venta,TIPO_K,1,7,Domingo,5,Medio,No,15,falta_personal
recarga,CO2,1,5,Jueves,8,Alto,Si,3,sin_error
venta,AGUA,1,18,Sabado,12,Medio,No,8,sin_error
recarga,ABC,2,12,Jueves,10,Alto,No,8,sin_error
recarga,ABC,1,10,Martes,9,Alto,Si,5,sin_error
recarga,CO2,3,12,Miercoles,8,Alto,Si,5,sin_error
recarga,AGUA,2,30,Miercoles,11,Bajo,No,12,retraso_entrega
venta,AGUA,2,5,Domingo,4,Alto,No,20,sin_error
recarga,AGUA,2,5,Lunes,8,Bajo,No,9,sin_error
recarga,AGUA,2,30,Lunes,12,Medio,Si,3,retraso_entrega
venta,CO2,3,5,Martes,1,Alto,Si,15,sin_error
venta,ABC,2,16,Viernes,9,Alto,No,12,sin_error
venta,TIPO_K,3,2,Sabado,10,Medio,No,7,sin_error
venta,CO2,1,7,Sabado,7,Alto,No,4,sin_error
recarga,ABC,3,7,Jueves,2,Bajo,No,1,sin_error
recarga,AGUA,2,3,Lunes,3,Medio,Si,20,sin_error
recarga,AGUA,2,1,Sabado,9,Alto,Si,5,sin_error
recarga,AGUA,1,20,Lunes,6,Medio,Si,2,sin_error
venta,CO2,2,25,Sabado,2,Alto,No,12,retraso_entrega
venta,ABC,1,20,Sabado,4,Alto,No,15,sin_error
recarga,AGUA,1,8,Viernes,5,Alto,No,1,sin_error
recarga,TIPO_K,1,15,Domingo,4,Bajo,Si,12,sin_error
recarga,ABC,1,8,Domingo,7,Alto,Si,15,sin_error
venta,TIPO_K,1,18,Domingo,9,Bajo,No,2,sin_error
venta,TIPO_K,2,15,Lunes,3,Bajo,No,4,cancelacion_cliente
venta,ABC,1,2,Viernes,1,Bajo,No,0,producto_no_disponible
recarga,ABC,2,18,Jueves,10,Bajo,No,3,sin_error
venta,AGUA,1,16,Viernes,2,Alto,No,4,sin_error
venta,TIPO_K,1,30,Lunes,3,Alto,No,9,retraso_entrega
venta,AGUA,2,12,Sabado,1,Bajo,Si,4,sin_error
venta,AGUA,1,9,Viernes,3,Medio,No,4,sin_error
recarga,TIPO_K,2,25,Domingo,11,Bajo,No,5,retraso_entrega
recarga,TIPO_K,1,18,Sabado,9,Medio,Si,5,sin_error
venta,AGUA,1,16,Jueves,2,Bajo,No,10,sin_error
venta,ABC,1,16,Miercoles,5,Medio,No,20,sin_error
venta,ABC,1,3,Martes,7,Bajo,Si,2,falta_personal
recarga,ABC,1,2,Miercoles,9,Bajo,Si,8,sin_error
venta,CO2,1,16,Viernes,6,Bajo,Si,1,sin_error
recarga,AGUA,2,8,Jueves,2,Medio,No,0,producto_no_disponible
venta,CO2,1,3,Martes,11,Alto,Si,0,producto_no_disponible
recarga,AGUA,1,12,Domingo,7,Medio,Si,8,sin_error
venta,AGUA,2,30,Jueves,5,Alto,No,8,sin_error
venta,TIPO_K,1,5,Domingo,9,Medio,No,0,producto_no_disponible
venta,TIPO_K,1,1,Viernes,11,Alto,No,1,sin_error
venta,ABC,3,7,Domingo,5,Alto,Si,7,sin_error
venta,AGUA,3,12,Martes,9,Medio,No,8,sin_error
recarga,ABC,1,2,Martes,5,Alto,Si,5,falta_personal
venta,AGUA,1,8,Domingo,8,Medio,No,20,sin_error
recarga,AGUA,2,20,Lunes,2,Alto,Si,7,sin_error
recarga,ABC,2,25,Jueves,11,Medio,Si,12,sin_error
venta,CO2,1,8,Miercoles,2,Alto,Si,1,sin_error
recarga,CO2,1,25,Lunes,12,Alto,No,9,sin_error
venta,AGUA,1,10,Sabado,1,Bajo,No,15,sin_error
venta,AGUA,3,16,Domingo,4,Alto,Si,4,sin_error
venta,AGUA,1,20,Domingo,11,Medio,Si,3,sin_error
recarga,AGUA,1,16,Lunes,3,Bajo,No,5,sin_error
recarga,TIPO_K,1,25,Domingo,2,Alto,Si,15,retraso_entrega
venta,ABC,2,3,Sabado,8,Medio,No,4,falta_personal
venta,AGUA,2,2,Sabado,12,Alto,Si,2,sin_error
venta,AGUA,3,12,Domingo,7,Alto,Si,2,producto_no_disponible
venta,AGUA,1,1,Lunes,4,Bajo,Si,20,sin_error
recarga,AGUA,1,2,Martes,4,Bajo,No,9,sin_error
venta,TIPO_K,1,3,Martes,4,Bajo,No,2,sin_error
venta,CO2,3,5,Martes,8,Medio,No,12,sin_error
recarga,AGUA,1,20,Jueves,4,Medio,No,0,producto_no_disponible
recarga,AGUA,3,8,Lunes,8,Alto,No,0,producto_no_disponible
venta,ABC,2,5,Lunes,1,Alto,Si,7,sin_error
recarga,ABC,2,5,Lunes,7,Medio,Si,6,sin_error
venta,CO2,2,2,Miercoles,6,Alto,No,9,sin_error
recarga,CO2,2,15,Jueves,5,Bajo,Si,7,sin_error
recarga,AGUA,1,1,Sabado,11,Bajo,No,9,sin_error
recarga,AGUA,1,15,Viernes,2,Medio,No,6,sin_error
recarga,TIPO_K,2,25,Lunes,1,Alto,Si,5,retraso_entrega
venta,CO2,3,12,Miercoles,7,Alto,No,3,sin_error
recarga,CO2,1,15,Viernes,1,Medio,Si,5,sin_error
recarga,TIPO_K,2,3,Sabado,1,Medio,Si,6,falta_personal
recarga,AGUA,2,3,Domingo,11,Bajo,No,4,sin_error
recarga,TIPO_K,2,1,Lunes,9,Medio,No,10,sin_error
venta,TIPO_K,1,25,Viernes,12,Alto,Si,10,retraso_entrega
recarga,CO2,3,10,Sabado,5,Alto,Si,0,producto_no_disponible
venta,AGUA,1,2,Sabado,12,Medio,Si,9,sin_error
recarga,AGUA,3,20,Miercoles,3,Alto,Si,7,sin_error
recarga,ABC,1,12,Lunes,8,Medio,No,4,sin_error
recarga,TIPO_K,1,8,Martes,10,Medio,No,6,sin_error
recarga,CO2,1,16,Jueves,6,Medio,No,6,sin_error
recarga,CO2,1,1,Martes,11,Medio,No,3,falta_personal
venta,CO2,2,1,Jueves,5,Medio,No,15,sin_error
recarga,CO2,1,16,Miercoles,5,Alto,Si,6,sin_error
venta,AGUA,1,20,Miercoles,1,Alto,Si,15,sin_error
recarga,ABC,3,5,Viernes,12,Medio,Si,3,sin_error
venta,CO2,3,2,Lunes,4,Alto,Si,8,sin_error
recarga,AGUA,3,8,Sabado,5,Bajo,No,6,sin_error
venta,TIPO_K,1,20,Lunes,12,Bajo,No,5,sin_error
recarga,CO2,3,18,Sabado,4,Bajo,No,2,sin_error
recarga,AGUA,2,18,Miercoles,7,Medio,No,8,sin_error
recarga,TIPO_K,1,25,Viernes,3,Bajo,No,12,retraso_entrega
